 Psychology and  Personality Psychology: 1.5910'
' Human Resource Management and  Consumer Behavior: 1.1826'
' Anthropology and  Media Studies: 1.0968'
' English and  Linguistics: 1.3454'
' Education and  Sociology of Education: 1.4829'
' Architecture and  Architectural Theory: 1.4073'
' Political Science and  Gender: 1.2010'
' Environmental Education and  Science Communication: 1.0270'
' Philosophy and  Gender: 1.5107'
' Education and  Computer Engineering: 1.1656'
' Data Mining and  Cloud Computing: 1.2820'
' Teacher Education and  Learning and Teaching: 1.2469'
' Architecture and  Sustainable Architecture: 1.1596'
' Electrical Engineering and  Wireless Communications: 1.3192'
' Cultural Studies and  Music: 1.3872'
' Sociology and  Social Theory: 1.8325'
' Materials Science and  Nanotechnology: 1.7886'
' English Literature and  Applied Linguistics: 1.3049'
' Computer Science and  Android: 1.2403'
' Grid Computing and  Information Security: 1.6464'
' Social Sciences and  Linguistics: 1.2741'
' Fish Biology and  Aquaculture: 1.5072'
' Technology and  Information Technology: 1.9202'
' Religion and  Social Sciences: 1.8899'
' International Relations and  Peace and Conflict Studies: 1.7659'
' Innovation and  Consumer Behavior: 1.8156'
' Philosophy of Mind and  Ethics: 1.0490'
' Development Studies and  Rural Development: 1.0940'
' Zoology and  Ecology: 1.5569'
' Islamic Studies and  Islam: 1.7629'
' Critical Theory and  English Literature: 1.1804'
' Educational Technology and  Higher Education: 1.8848'
' Mathematics and  Mathematics Education: 1.8267'
' Teacher Education and  Research Methodology: 1.1161'
' Computer Science and  Chemistry: 1.7751'
' Entrepreneurship and  Strategic Management: 1.8174'
' Marketing and  History: 1.1869'
' Philosophy and  Teacher Education: 1.3470'
' Sex and Gender and  Class: 1.0836'
' Psychology and  Developmental Psychology: 1.6850'
' Construction Management and  Construction Project Management: 1.5300'
' History and  European History: 1.8625'
' Geography and  Geographic Information Systems (GIS): 1.4583'
' Cell Biology and  Molecular Biology: 1.0705'
' Human Rights and  Gender: 1.1186'
' Microbiology and  Molecular Biology: 1.4084'
' Teaching English as a Second Language and  Teaching English As A Foreign Language: 1.4656'
' Computer Science and  Music: 1.4593'
' International Relations and  Accounting: 1.4135'
' Finance and  Civil Law: 1.0208'
' Technology and  Research Methodology: 1.3101'
' Philosophy of Mind and  Philosophy Of Science: 1.6780'
' Communication and  Architecture: 1.2633'
' Earth Sciences and  Climate Change: 1.5299'
' Marketing and  Marketing Management: 1.1489'
' Image Processing and  Data Mining: 1.5147'
' Design and  Environmental Sustainability: 1.5339'
' Critical Theory and  Literature: 1.9508'
' Bioinformatics and  Natural Language Processing: 1.2866'
' Evolutionary Biology and  Conservation Biology: 1.3550'
' Marketing and  Environmental Sustainability: 1.0594'
' Uploading and  History of Science: 1.9753'
' Visual Studies and  Art History: 1.3041'
' English Literature and  Languages and Linguistics: 1.5291'
' Computer Science and  Project Management: 1.4157'
' Comparative Politics and  International Relations: 1.6196'
' Research Methodology and  Political Science: 1.8270'
' International Business and  Strategic Management: 1.3933'
' Archaeology and  Egyptology: 1.3424'
' Sociology and  Archaeology: 1.1479'
' Architecture and  Sustainable Development: 1.1388'
' Civil Engineering and  Computer Science: 1.0297'
' Information Technology and  Project Management: 1.2069'
' Human Rights and  Philosophy Of Law: 1.1112'
' Languages and Linguistics and  Teacher Education: 1.3592'
' Community Development and  Rural Development: 1.0119'
' Communication and  Art History: 1.4117'
' History and  Classics: 1.3432'
' Discourse Analysis and  Education: 1.8370'
' Administrao e Gesto Educativa and  Tecnologias da Informao e da Comunicao (TIC) na Educao: 1.0011'
' Geography and  Archaeology: 1.0513'
' Political Economy and  Development Studies: 1.9003'
' Cultural History and  Philosophy: 1.0202'
' Entrepreneurship and  Accounting: 1.4946'
' Public Administration and Policy and  Political Economy and History: 1.4136'
' Film Studies and  Film Theory: 1.8848'
' Environmental Education and  Biodiversity: 1.5174'
' Music and  Communication: 1.6121'
' History and  Economic History: 1.1237'
' Cultural Theory and  Culture: 1.1059'
' Imperialism and  Empire: 1.8268'
' Management and  History: 1.1769'
' Prehistoric Archaeology and  Landscape Archaeology: 1.1651'
' Environmental Engineering and  Water quality: 1.4260'
' Finance and  Comparative Law: 1.0537'
' Economics and  Human Resource Management: 1.7935'
' Education and  Politics: 1.1592'
' Landscape Ecology and  Conservation Biology: 1.1596'
' New Media and  Online Journalism: 1.0059'
' Education and  Innovation: 1.2128'
' Archaeology and  Medieval History: 1.2976'
' Artificial Intelligence and  Gears: 1.1150'
' Development Studies and  International Development: 1.1036'
' Cognitive Psychology and  Social Psychology: 1.3746'
' Urban Geography and  Urban Studies: 1.0276'
' Culture and  Linguistics: 1.6846'
' Knowledge Management and  Innovation: 1.2456'
' International Relations and  Political Theory: 1.0661'
' Information Systems and  Software Engineering: 1.2458'
' Architecture and  Architectural History: 1.8548'
' Accounting and  Banking: 1.4524'
' Culture and  Environmental Sustainability: 1.0117'
' Literature and  Literary Theory: 1.5974'
' Entrepreneurship and  Education: 1.0968'
' Management and  International Relations: 1.0685'
' Geography and  Development Studies: 1.9002'
' Ethics and  Philosophy Of Science: 1.0015'
' Social Sciences and  Politics: 1.4452'
' Art History and  Design: 1.1165'
' Design and  Graphic Design: 1.9323'
' Wine Marketing and  Marketing Communications: 1.7640'
' Design and  Photography: 1.0267'
' Gender Studies and  English Literature: 1.2441'
' Feminist Theory and  Gender: 1.878'
' Ancient History and  Roman History: 1.2166'
' Psychology and  Educational Psychology: 1.4211'
' International Law and  Philosophy Of Law: 1.6972'
' Uploading and  Lesson Study: 1.9798'
' Civil Engineering and  Construction Management: 1.2954'
' Human Resource Management and  Armenian Culture: 1.1616'
' Information Systems and  Education: 1.2295'
' Business and  Innovation: 1.0502'
' Architecture and  Literature: 1.3634'
' History and  History of Science: 1.4197'
' Islamic Studies and  Islamic History: 1.2074'
' Marketing and  Branding: 1.7617'
' Environmental Education and  Conservation Biology: 1.5632'
' Social Sciences and  Gender: 1.9382'
' Image Processing and  Machine Learning: 1.4710'
' Archaeology and  Material Culture Studies: 1.2730'
' Political Philosophy and  Human Rights: 1.3840'
' Economics and  International Economics: 1.1527'
' Teacher Education and  Applied Linguistics: 1.6502'
' Economics and  Econometrics: 1.7586'
' Industrial Design and  Product Design: 1.7952'
' Anthropology and  Cultural Theory: 1.1446'
' Critical Pedagogy and  Reflective Teaching: 1.4351'
' Social Sciences and  Human Rights: 1.2275'
' Armenian Studies and  Armenian Culture: 1.2268'
' Cognitive Science and  Philosophy of Mind: 1.8624'
' Communication and  Teacher Education: 1.0263'
' Migration and  Migration Studies: 1.2312'
' Research Methodology and  Industry market research: 1.0787'
' Architecture and Public Spaces and  Urban Design: 1.0011'
' Comparative Civil Procedure and  Civil Procedure: 1.6512'
' Software Engineering and  Computer Engineering: 1.8703'
' Classical Archaeology and  Roman archaeology: 1.4505'
' Financial Economics and  International Finance: 1.3036'
' International Relations and  Research Methodology: 1.3376'
' Biochemistry and  Biotechnology: 1.5777'
' Religion and  Sociology: 1.7367'
' Organizational Behavior and  Strategic Management: 1.0387'
' Artificial Intelligence and  Theory Of Mechanisms: 1.3013'
' Marketing and  Philosophy: 1.1470'
' Business Administration and  Economics: 1.3839'
' Marketing and  Marketing Research: 1.7460'
' Sociology and  Political Sociology: 1.7286'
' Earth Sciences and  Remote Sensing: 1.2670'
' Discourse Analysis and  English: 1.7716'
' Chemistry and  Biotechnology: 1.7308'
' Psychology and  Teacher Education: 1.1940'
' Psychology and  Art History: 1.0256'
' History and  Development Studies: 1.0315'
' Geography and  Biology: 1.2703'
' Social Networks and  Social Networking: 1.3488'
' Marketing and  Business Administration: 1.2866'
' Engineering and  Economics: 1.7475'
' Earth Sciences and  Environmental Sustainability: 1.2318'
' Anthropology and  Languages and Linguistics: 1.9780'
' Algorithms and  Database Systems: 1.6282'
' Uploading and  Philosophy Of Science: 1.9741'
'
